Year,Total_IPP_Generation_GWh,Power_Import_From_India_GWh,National_Peak_Demand_MW
2010,370.59,2711.91,873.84
2011,453.89,2638.95,928.08
2012,628.81,2567.95,985.69
2013,680.85,2498.87,1046.87
2014,864.8,2431.64,1111.85
2015,1021.3,2366.22,1180.86
2016,1012.0,1778.0,1385.0
2017,1623.0,2175.0,1444.0
2018,2019.0,2582.0,1508.0
2019,2033.0,2813.0,1320.0
2020,2836.0,1729.0,1408.0
2021,3093.0,2806.0,1482.0
2022,4286.0,1543.0,1748.0
2023,5118.0,1833.0,1870.0
2024,6564.0,1895.0,2212.0
2025,8606.0,1681.0,2409.0
