Ticker,Company_Name,Matched_Promoter,Matched_Project,Installed_Capacity_MW,License_Issue_Year,License_Term_Years
NHPC,National Hydro Power Company Limited,National Hydropower Company Pvt. Ltd.,Indrawati -III,7.5,2054.0,50.0
BPCL,Butwal Power Company Limited,Butwal Power Company,Andhi Khola,9.4,2052.0,49.0
CHCL,Chilime Hydropower Company Limited,Chilime Hydropower Company Limited,Chilime,22.0,2054.0,50.0
AHPC,Arun Valley Hydropower Development Co. Ltd.,Arun Valley Hydropower Development Company Pvt. Ltd.,Piluwa Khola,3.0,2057.0,40.0
SHPC,Sanima Mai Hydropower Ltd.,Sanima Mai Hydropower Limited,Mai,22.0,2067.0,35.0
RIDI,Ridi Power Company Limited,Ridi Power Co. Ltd.,Ridi Khola,2.4,2064.0,35.0
BARUN,Barun Hydropower Co. Ltd.,Barun Hydropower Development Co. Pvt. Ltd,Hewa khola,4.455,2065.0,35.0
API,Api Power Company Ltd.,Api Power Company Pvt. Ltd,Nau Gad Khola,8.5,2069.0,35.0
NGPL,Ngadi Group Power Ltd.,Nyadi Group Pvt Ltd,Siuri Khola,5.0,2066.0,35.0
KKHC,Khanikhola Hydropower Co. Ltd.,Khani Khola Hydropower Company Ltd,Tungun - Thosne Khola,4.36,2069.0,35.0
DHPL,Dibyashwori Hydropower Ltd.,Dibyaswari Hydropower P Ltd,Sabha Khola,3.3,2069.0,35.0
AKPL,Arun Kabeli Power Ltd.,Arun Kabeli Power Limited.,Kabeli B - 1,25.0,2070.0,35.0
SPDL,Synergy Power Development Ltd.,Synergy Power Development P Ltd,Sipring Khola,10.0,2066.0,35.0
UMHL,United Modi Hydropower Ltd.,UNMATCHED,UNMATCHED,,,
CHL,Chhyangdi Hydropower Ltd.,Chhyandi Hydropower Co. P. Ltd,Chhandi Khola,2.0,2070.0,35.0
HPPL,Himalayan Power Partner Ltd.,Himalaya Power Partner Pvt. Ltd,Dordi Khola,27.0,2068.0,35.0
NHDL,Nepal Hydro Developers Ltd.,Nepal Hydro Developer Pvt Ltd,Charnawati Khola Hydroelectric Project,3.52,2067.0,35.0
RADHI,Radhi Bidyut Company Ltd,Radhi Bidyut Co. Ltd,Radhi Small,4.4,2068.0,35.0
PMHPL,Panchakanya Mai Hydropower Ltd,UNMATCHED,UNMATCHED,,,
KPCL,Kalika power Company Ltd,UNMATCHED,UNMATCHED,,,
AKJCL,Ankhu Khola Jalvidhyut Company Ltd,Ankhu Khola Jalvidut Co. Ltd,Ankhu Khola - 1,7.0,2066.0,35.0
JOSHI,Joshi Hydropower Development Company Ltd,Joshi Hydropower Co. P. Ltd,Upper Puwa-1,3.0,2070.0,35.0
UPPER,Upper Tamakoshi Hydropower Ltd,Upper Tamakoshi Hydropower Limited,Upper Tamakoshi HPP,456.0,2067.0,36.0
GHL,Ghalemdi Hydro Limited,Ghalemdi Hydro Limited,Ghalemdi Khola,5.0,2070.0,35.0
UPCL,UNIVERSAL POWER COMPANY LTD,Universal Power Company P. Ltd,Lower Khare,11.0,2069.0,36.0
MHNL,Mountain Hydro Nepal Limited,Mountain Energy Nepal Limited,Mristi Khola,42.0,2068.0,35.0
PPCL,Panchthar Power Compant Limited,UNMATCHED,UNMATCHED,,,
HURJA,Himalaya Urja Bikas Company Limited,Himalaya Urja Bikas Co. Pvt. Ltd.,Upper Khimti,12.0,2069.0,36.0
UNHPL,Union Hydropower Limited,Union Hydropower P.Ltd,Midim Khola,3.0,2069.0,35.0
RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,Rasuwagadhi Hydropower Company Ltd.,Rasuwagadhi,111.0,2069.0,36.0
SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,Sanjen Jalvidhyut Co,Upper Sanjen,14.8,2069.0,36.0
HDHPC,Himal Dolakha Hydropower Company Limited,Himal Dolkha Hydropower Co Ltd,Mai Khola,4.5,2064.0,35.0
LEC,Liberty Energy Company Limited,Liberty Energy Hydropower Pvt. Ltd.,Upper Dordi A HEP,25.0,2071.0,36.0
SSHL,Shiva Shree Hydropower Ltd,Shiva Sri Hydropower Pvt. Ltd,Upper Chaku A,22.2,2068.0,35.0
MEN,Mountain Energy Nepal Limited,Mountain Energy Nepal Limited,Mristi Khola,42.0,2068.0,35.0
UMRH,United IDI Mardi RB Hydropower Limited.,United Idimardi and R.B. Hydropower Pvt Ltd,Upper Mardi Hydropower Project,7.0,2073.0,35.0
GLH,GreenLife Hydropower Limited,UNMATCHED,UNMATCHED,,,
SHEL,Singati Hydro Energy Limited,Singati Hydro Energy Pvt. Ltd.,Singati Khola hydropower project,25.0,2072.0,35.0
RURU,Ru Ru Jalbidhyut Pariyojana Limited,Ruru Jalbidyut Pariyojana Pvt. Ltd,Upper Hugdi,5.0,2069.0,35.0
MKJC,Mailung Khola Jal Vidhyut Company Limited,Ankhu Khola Jalvidut Co. Ltd,Ankhu Khola - 1,7.0,2066.0,35.0
SAHAS,Sahas Urja Limited,Sahas Urja Limited,Solu Khola (Dudha Koshi),86.0,2071.0,36.0
TPC,Terhathum Power Company Limited,Terhathum Power Company Pvt. Ltd.,Upper Khorunga HPP,7.5,2073.0,33.0
SPC,Samling Power Company Limited,Samling Power company Pvt.Ltd,Mai Beni HPP,9.51,2075.0,36.0
NYADI,Nyadi Hydropower Limited,Nyadi Hydropower Limited,Nyadi Khola,30.0,2069.0,36.0
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,Madhya Bhotekoshi Jalbidyut Company Ltd.,Madhya Bhotekoshi,102.0,2070.0,36.0
BNHC,Buddha Bhumi Nepal Hydropower Company Limited,Buddha Bhumi Nepal Hydropower Co. Pvt. ltd.,Lower Tadi,4.993,2069.0,35.0
GVL,Green Ventures Limited,Green Ventures Ltd,Likhu-4,52.4,2068.0,30.0
BHL,Balephi Hydropower Limited,Balephi Hydropower Ltd.,Upper Balephi A,36.0,2073.0,35.0
RFPL,River Falls Power Limited,River Falls Hydropower Development P. Ltd.,Down Piluwa,10.3,2070.0,35.0
DORDI,Dordi Khola Jal Bidyut Company Limited,Dordi Khola Jalvidyut Company Limited,Dordi-1,12.0,2069.0,36.0
BHDC,Bindhyabasini Hydropower Development Company Limited,Bindhyabasini Hydropower Development Co. Pvt Ltd,Rudi Khola-B Hydropower Project,6.6,2074.0,35.0
HHL,Himalayan Hydropower Limited,Himalayan Hydropower Pvt.Ltd,Namarjun Madi,12.0,2069.0,35.0
UHEWA,Upper Hewakhola Hydropower Company Limited,Upper Hewa Khola Hydropower Company Pvt Ltd,Upper Hewa HPP,8.5,2072.0,35.0
SGHC,Swet-Ganga Hydropower & Construction Limited,Swaita Ganga Hydropower and Construction Pvt. Ltd.,Lower Likhu,28.1,2072.0,36.0
MHL,Mandakini Hydropower Limited,Mandakini Hydropower Ltd.,Sardi Khola,4.0,2070.0,35.0
USHEC,Upper Solu Hydro Electric Company Limited,Upper Solu Hydroelectric Company Pvt Ltd,Solu Hydropower Project,23.5,2070.0,35.0
RHGCL,Rapti Hydro And General Construction Limited,Rapti Hydro and General Construction Pvt. Ltd.,Rukum gad,5.0,2072.0,36.0
SPHL,Sayapatri Hydropower Limited,Sayapatri Hydropower Pvt. Ltd.,Daram Khola-A,2.5,2070.0,35.0
PPL,People's Power Limited,Peoples Hydropower Company Pvt.Ltd.,Super Dordi Kha Hydropower Project,54.0,2070.0,36.0
SIKLES,Sikles Hydropower Limited,Silkes Hydropower Pvt.Ltd,Madkyu Khola,13.0,2070.0,35.0
EHPL,Eastern Hydropower Limited,Eastern Hydropower P Ltd,Pikhuwa Khola,5.0,2067.0,35.0
PHCL,Peoples Hydropower Company Limited,Peoples Hydropower Company Pvt.Ltd.,Super Dordi Kha Hydropower Project,54.0,2070.0,36.0
BHPL,Barahi Hydropower Public Limited,UNMATCHED,UNMATCHED,,,
SMHL,Super Madi Hydropower Limited,Supermai Hydropower Pvt.Ltd.,Super Mai Hydropower Project,7.8,2073.0,35.0
SPL,Shuvam Power Limited,UNMATCHED,UNMATCHED,,,
SMH,Super Mai Hydropower Limited,Supermai Hydropower Pvt.Ltd.,Super Mai Hydropower Project,7.8,2073.0,35.0
MKHC,Maya Khola Hydropower Company Limited,Maya Khola Hydropower Company Ltd,Maya Khola Hydropower Project,14.9,2071.0,35.0
AHL,Asian Hydropower Limited,Asian Hydropower Pvt. Ltd,Lower Jogmai Khola HPP,6.2,2076.0,36.0
TAMOR,Sanima Middle Tamor Hydropower Limited,Sanima Middle Tamor Hydropower Ltd,Middle Tamor,73.0,2074.0,36.0
MHCL,Molung Hydropower Company Limited,Molun Hydropower Co. Pvt. Ltd,Molun Khola SHP,7.0,2071.0,35.0
SMJC,Sagarmatha Jalabidhyut Company Limited,Sagarmatha Jalbidhyut Company P.Ltd.,Super Mai-A HPP,9.6,2074.0,36.0
MAKAR,Makar Jitumaya Suri Hydropower Limited,Makar Jitumaya Hudropower Pvt.Ltd.,Upper Suri Khola HPP,7.0,2076.0,35.0
MKHL,Mai Khola Hydropower Limited,Mai Khola Hydropower Pvt.Ltd.,Super Mai Khola Cascade HPP,3.0,2075.0,35.0
DOLTI,Dolti Power Company Limited,Dolti Power Company P. Ltd,Padam Khola SHP,4.8,2074.0,35.0
BEDC,Bhugol Energy Development Company Limited,Bhugol Energy Development Company Pvt Ltd,Dwari Khola SHP,3.75,2071.0,35.0
MCHL,Menchhiyam Hydropower Limited,UNMATCHED,UNMATCHED,,,
IHL,Ingwa Hydropower Limited,UNMATCHED,UNMATCHED,,,
MEL,Modi Energy Limited,Modi Energy Pvt . Ltd,Lower Modi Khola,20.0,2067.0,35.0
RAWA,Rawa Energy Development Limited,Rawa Energy Development Pvt Ltd,Rawa Khola,3.0,2073.0,35.0
USHL,Upper Syange Hydropower Limited,Upper Syange Hydropower Pvt. Ltd.,Upper Syange Khola SHP,2.4,2074.0,35.0
TSHL,Three Star Hydropower Limited,Three Star Hydro Power Pvt.Ltd.,Sapsup Khola Small Hydro Electric Project,7.151,2074.0,35.0
KBSH,Kutheli Bukhari Small Hydropower Limited,UNMATCHED,UNMATCHED,,,
MEHL,Manakamana Engineering Hydropower Limited,Mankamana Engineering HP,Ghatte Khola,5.0,2072.0,35.0
ULHC,Upper Lohore Khola Hydropower Company Limited,Upper Lohore Khola Hydropower Company. Pvt. Ltd,Upper Lohore SHP,4.0,2075.0,35.0
MANDU,Mandu Hydropower Limited,Mandu Hydropower Ltd.,Bagmati Nadi,32.0,2071.0,35.0
BGWT,Bhagawati Hydropower Development Company Limited,Bhagawati Hydropower Development Company,Bijayapur-1,4.5,2066.0,35.0
MSHL,Mid Solu Hydropower Limited,Mid Solu Hydropower Ltd.,Mid Solu Khola HEP,9.5,2077.0,35.0
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited,UNMATCHED,UNMATCHED,,,
TVCL,Trishuli Jal Vidhyut Company Limited,Richet Jalbidhyut Company Pvt. Ltd.,Richet Khola SHP,5.0,2074.0,35.0
VLUCL,Vision Lumbini Urja Company Limited,Vision Lumbini Urja Company Limited.,Seti Khola HPP,25.0,2077.0,35.0
CKHL,Chirkhwa Hydropower Limited,Chirkhuwa Hydropower Company Pvt td,Upper Chirkhuwa Khola,4.7,2073.0,35.0
SANVI,Sanvi Energy Limited,Sanvi Energy Pvt. Ltd.,Jogmai Khola,7.6,2069.0,35.0
BHCL,Bikash Hydropower Company Limited,Bikash Hydropower Company Pvt. Ltd.,Upper Machha Khola HEP,4.55,2076.0,35.0
HIMSTAR,Him Star Urja Company Limited,Him Star Urja Company Ltd.,Buku-Kapati Hydropower Project,5.0,2074.0,35.0
MABEL,Mabilung Energy Limited,Mabilung Energy.Ltd,Upper Piluwa 3 HPP,4.95,2077.0,35.0
DHEL,Daramkhola Hydro Energy Limited,Sayapatri Hydropower Pvt. Ltd.,Daram Khola-A,2.5,2070.0,35.0
BUNGAL,Bungal Hydro Limited,Bungal Hydro Ltd,Sanigad,10.7,2072.0,35.0
SOHL,Solu Hydropower Limited,Solu Hydropower Ltd,Lower Solu Hydropower Project,82.0,2070.0,36.0
BJHL,Bhujung Hydropower Limited,"Bhujung Hydro Power Ltd.,",Upper Midim Khola SHP,7.5,2076.0,35.0
SKHL,Super Khudi Hydropower Limited,Ruru Jalbidyut Pariyojana Pvt. Ltd,Upper Hugdi,5.0,2069.0,35.0
RLEL,Ridge Line Energy Limited,Ridge Line Energy Pvt. Ltd,Super Chepe HEP,9.05,2078.0,35.0
SKHEL,Suryakunda Hydro Electric Limited,Surya Kund Hydro Electric Pvt. Ltd.,Upper Tadi,11.0,2072.0,35.0
SIPD,Shikhar power Development Limited,Shikhar Power Development Pvt.Ltd.,Bhim Khola Small HEP,4.96,2076.0,36.0
KHPL,Kalinchock Hydropower Limited,UNMATCHED,UNMATCHED,,,
APHL,Appolo Hydropower Limited,Apolo Hydropower Pvt.Ltd,Buku Khola,6.0,2074.0,35.0
YMHL,Yambaling Hydropower Limited,Yambaling Hydropower Ltd.,Yambaling Khola,7.271,2073.0,36.0
TPKHL,Taksar Pikhuwa Khola Hydropower Limited,Taksar Pikhuwa Khola Hydropower Ltd.,Taksar Pikhuwa,8.0,2073.0,35.0
